年齢,月齢,制度,項目,内容
妊娠,妊娠がわかったら,妊娠の届出,,"妊娠が分かったら妊娠の届出をしてください。妊娠届を出された方に母子健康手帳及び付属書類を交付します。 <br>この手帳で妊産婦と乳幼児の健康状態の一貫した記録を行います。また保健・育児に関する情報が記載されています。<br>母子健康手帳交付の際、保健師が妊婦の健康状態などをお伺いする面接を行うとともに、母子保健サービスなどの説明をします。 届出できる人・届出方法・届出期日・届出窓口 お住まいの区の保健福祉センター保健業務担当に妊娠届出書を提出してください。<br>※期日はありませんが、妊娠が分かりましたら早めに届出をしてください。<br>※届出は対象者ご本人が行ってください。 ご本人が来所できない場合は、代理の方が提出することもできます。代理の方が来所されるときは、委任状等が必要となります。<br><a href=""https://www.city.osaka.lg.jp/kodomo/page/0000370460.html"">ホームページ</a>"
０歳,１か月,健診,乳児一般健康診査（前期）,対象：生後1～2か月<br>受診方法：受診票（母子健康手帳に添付）を用いて、 かかりつけの医療機関にお問合せのうえ、受診してください。
０歳,２か月,予防接種,B型肝炎①,2
０歳,２か月,予防接種,ロタウイルス : ロタリックス①,3
０歳,２か月,予防接種,ロタウイルス : ロタテック①,4
０歳,２か月,予防接種,ヒブ(インフルエンザ菌b型)①　接種開始時期：生後2～7か月に至るまで※標準的な接種年齢,5
０歳,２か月,予防接種,小児用肺炎球菌(PCV13)①　接種開始時期：生後２～７か月に至るまで※標準的な接種年齢,8
０歳,３か月,予防接種,B型肝炎②,2
０歳,３か月,予防接種,ロタウイルス : ロタリックス②,3
０歳,３か月,予防接種,ロタウイルス : ロタテック②,4
０歳,３か月,予防接種,ヒブ(インフルエンザ菌b型)②　接種開始時期：生後2～7か月に至るまで※標準的な接種年齢,5
０歳,３か月,予防接種,小児用肺炎球菌(PCV13)②　接種開始時期：生後２～７か月に至るまで※標準的な接種年齢,8
０歳,３か月,予防接種,４種混合(DPT-IPV)[ジフテリア・百日せき・破傷風・ポリオ]①,12
０歳,４か月,健診,3か月児健康診査,"生涯を通じて発育の最も旺盛な時期です。赤ちゃんの健康状態を正しく知るために、ぜひ健診を受けましょう。保健師・管理栄養士による育児・離乳食相談ができます。また、当健診時に乳児後期健康診査受診票もお渡しします。<br>対象：生後4か月ごろ<br>
受診方法：区役所（保健福祉センター）から個別通知します。通知が届きましたら、指定の日時に受診してください。<br>（通知は健診月の前月に送付します。）<br>（注）指定の日時に受診できない場合は、区役所（保健福祉センター）にご連絡ください。<br>健診の内容<br>・育児・離乳食・絵本についてのお話（保健師・管理栄養士・図書館司書）<br>・身体計測（看護師）<br>・診察（医師）<br>・育児・離乳食・発育・発達相談（保健師・管理栄養士）"
０歳,４か月,予防接種,B型肝炎②,2
０歳,４か月,予防接種,ロタウイルス : ロタテック③,4
０歳,４か月,予防接種,ヒブ(インフルエンザ菌b型)③　接種開始時期：生後2～7か月に至るまで※標準的な接種年齢,5
０歳,４か月,予防接種,小児用肺炎球菌(PCV13)③　接種開始時期：生後２～７か月に至るまで※標準的な接種年齢,8
０歳,４か月,予防接種,４種混合(DPT-IPV)[ジフテリア・百日せき・破傷風・ポリオ]②,12
０歳,５か月,予防接種,BCG①,1
０歳,５か月,予防接種,B型肝炎②,2
０歳,５か月,予防接種,ロタウイルス : ロタテック③,4
０歳,５か月,予防接種,ヒブ(インフルエンザ菌b型)③　接種開始時期：生後2～7か月に至るまで※標準的な接種年齢,5
０歳,５か月,予防接種,小児用肺炎球菌(PCV13)③　接種開始時期：生後２～７か月に至るまで※標準的な接種年齢,8
０歳,５か月,予防接種,４種混合(DPT-IPV)[ジフテリア・百日せき・破傷風・ポリオ]③,12
０歳,６か月,予防接種,BCG①,1
０歳,６か月,予防接種,B型肝炎②,2
０歳,６か月,予防接種,ヒブ(インフルエンザ菌b型)③　接種開始時期：生後2～7か月に至るまで※標準的な接種年齢,5
０歳,６か月,予防接種,小児用肺炎球菌(PCV13)③　接種開始時期：生後２～７か月に至るまで※標準的な接種年齢,8
０歳,６か月,予防接種,４種混合(DPT-IPV)[ジフテリア・百日せき・破傷風・ポリオ]③,12
０歳,７か月,予防接種,BCG①,1
０歳,７か月,予防接種,B型肝炎③,2
０歳,７か月,予防接種,ヒブ(インフルエンザ菌b型)　※接種開始時期：生後7～12か月に至るまで①,6
０歳,７か月,予防接種,小児用肺炎球菌(PCV13)　※接種開始時期：生後7～12か月に至るまで①,9
０歳,７か月,予防接種,４種混合(DPT-IPV)[ジフテリア・百日せき・破傷風・ポリオ]③,12
０歳,８か月,予防接種,B型肝炎③,2
０歳,８か月,予防接種,ヒブ(インフルエンザ菌b型)　※接種開始時期：生後7～12か月に至るまで②,6
０歳,８か月,予防接種,小児用肺炎球菌(PCV13)　※接種開始時期：生後7～12か月に至るまで②,9
０歳,８か月,予防接種,４種混合(DPT-IPV)[ジフテリア・百日せき・破傷風・ポリオ]③,12
０歳,９か月,予防接種,４種混合(DPT-IPV)[ジフテリア・百日せき・破傷風・ポリオ]③,12
０歳,９か月,予防接種,ヒブ(インフルエンザ菌b型)　※接種開始時期：生後7～12か月に至るまで②,6
０歳,９か月,予防接種,小児用肺炎球菌(PCV13)　※接種開始時期：生後7～12か月に至るまで②,9
０歳,９-11か月,健診,乳児後期健康診査（後期）,対象：生後9～11か月<br>受診方法：受診票（3か月児健康診査にて交付）を用いて、かかりつけの医療機関にお問合せのうえ、受診してください。
