年齢,月齢,制度,項目,内容,備考
妊娠,妊娠がわかったら,妊娠の届出,,"<p>妊娠が分かったら妊娠の届出をしてください。妊娠届を出された方に母子健康手帳及び付属書類を交付します。
　この手帳で妊産婦と乳幼児の健康状態の一貫した記録を行います。また保健・育児に関する情報が記載されています。
　母子健康手帳交付の際、保健師が妊婦の健康状態などをお伺いする面接を行うとともに、母子保健サービスなどの説明をします。

届出できる人・届出方法・届出期日・届出窓口
お住まいの区の保健福祉センター保健業務担当に妊娠届出書を提出してください。
※期日はありませんが、妊娠が分かりましたら早めに届出をしてください。
※届出は対象者ご本人が行ってください。 ご本人が来所できない場合は、代理の方が提出することもできます。代理の方が来所されるときは、委任状等が必要となります。",https://www.city.osaka.lg.jp/kodomo/page/0000370460.html
０歳,生直後,予防接種,B型肝炎　母子感染予防①,"B型肝炎<br>
【どんな病気？】<br>
　B型肝炎ウイルスが血液や体液を介して感染して起きる肝臓の病気で、感染した時期や健康状態によって、一過性の感染に終わる場合と、そのまま感染している状態が続いてしまう場合（この状態をキャリアといいます）があります。また、経過の違いから、急性肝炎と慢性肝炎があり、急性肝炎は稀に劇症化する場合もあることから注意が必要です。キャリアになると慢性肝炎になることがあり、そのうち一部の人では肝硬変や肝がんなど命に関わる病気を引き起こすこともあります。<br>
【どんなワクチン？】<br>
　組み換え沈降B型肝炎ワクチン（酵母由来）は、世界の180か国以上で使用されており、効果と安全性が高い不活化ワクチンンです。<br>
　ワクチン接種による抗体獲得率は40歳までの接種では95％と報告されています。一方、予防接種を受けても、お子さんの体質や体調によって免疫ができないことがあります。<br>
  また、ワクチン3回接種後の感染防御効果は20年以上続くと考えられています。<br>
※接種対象年齢・回数・間隔等についてはこちらをご覧ください。<br>
【副反応は？】<br>
　10％前後に倦怠感、頭痛、局所の腫脹、発赤、硬結等の症状が認められます。また、稀にみられる重い副反応としては、アナフィラキシー様症状（接種後30分以内に出現する呼吸困難などの重いアレルギー反応）、急性散在性脳脊髄炎（免疫力が強すぎて自分自身の体を攻撃して起こる脳や脊髄の病気）がみられるがあります。 <br>","日本小児学会が推奨する予防接種スケジュール
http://www.jpeds.or.jp/uploads/files/vaccine_schedule.pdf"
０歳,１か月,健診,乳児一般健康診査（前期）," 対象：生後1～2か月

 受診方法：受診票（母子健康手帳に添付）を用いて、 かかりつけの医療機関にお問合せのうえ、受診してください。",
０歳,１か月,予防接種,B型肝炎　母子感染予防②,"B型肝炎<br>
【どんな病気？】<br>
　B型肝炎ウイルスが血液や体液を介して感染して起きる肝臓の病気で、感染した時期や健康状態によって、一過性の感染に終わる場合と、そのまま感染している状態が続いてしまう場合（この状態をキャリアといいます）があります。また、経過の違いから、急性肝炎と慢性肝炎があり、急性肝炎は稀に劇症化する場合もあることから注意が必要です。キャリアになると慢性肝炎になることがあり、そのうち一部の人では肝硬変や肝がんなど命に関わる病気を引き起こすこともあります。<br>
【どんなワクチン？】<br>
　組み換え沈降B型肝炎ワクチン（酵母由来）は、世界の180か国以上で使用されており、効果と安全性が高い不活化ワクチンンです。<br>
　ワクチン接種による抗体獲得率は40歳までの接種では95％と報告されています。一方、予防接種を受けても、お子さんの体質や体調によって免疫ができないことがあります。<br>
  また、ワクチン3回接種後の感染防御効果は20年以上続くと考えられています。<br>
※接種対象年齢・回数・間隔等についてはこちらをご覧ください。<br>
【副反応は？】<br>
　10％前後に倦怠感、頭痛、局所の腫脹、発赤、硬結等の症状が認められます。また、稀にみられる重い副反応としては、アナフィラキシー様症状（接種後30分以内に出現する呼吸困難などの重いアレルギー反応）、急性散在性脳脊髄炎（免疫力が強すぎて自分自身の体を攻撃して起こる脳や脊髄の病気）がみられるがあります。 <br>","日本小児学会が推奨する予防接種スケジュール
http://www.jpeds.or.jp/uploads/files/vaccine_schedule.pdf"
０歳,２か月,健診,乳児一般健康診査（前期）," 対象：生後1～2か月

 受診方法：受診票（母子健康手帳に添付）を用いて、 かかりつけの医療機関にお問合せのうえ、受診してください。",
０歳,２か月,予防接種,インフルエンザ菌b型(ヒブ)①,"ヒブによる感染症（ヒブ）
接種方法や接種実施医療機関等については、<a href=""https://www.city.osaka.lg.jp/kenko/page/0000115715.html"">ヒブワクチン及び小児用肺炎球菌ワクチン接種について</a>をご覧ください。<br>
【どんな病気？】
　ヒブは、咳やくしゃみを介して鼻や喉で増え、体内に侵入しますが、そのほとんどは症状を起こしません。しかし、一部、血液の中に入り込み、脳や脊髄を覆っている髄膜に感染して細菌性髄膜炎を起こします。ヒブは、細菌性髄膜炎の起因菌の約6割を占め、5歳までの間で一番多い（0歳が最も多い）菌です。その他に心膜炎、肺炎、敗血症等を起こします。
　ヒブによる髄膜炎は、発熱、頭痛、嘔吐、けいれん等の症状で始まり、重症化しやすく、治療しても予後不良となる場合があります。髄膜炎発症者のうち、約5％が亡くなり、25％にてんかん・難聴・発育障がい等の後遺症が残るといわれています。

【どんなワクチン？】
　インフルエンザ菌b型から精製した莢膜多糖体とトキソイドを結合した不活化ワクチンです。子どもの重症例はインフルエンザ菌b型莢膜をもつ菌が多いため、ワクチンにはこのb型莢膜が使われています。ワクチン接種により、ヒブが血液や髄液から検出されるような重篤なヒブ感染症にかかるリスクを95％以上減らすことができると報告されています。
　標準的な接種スケジュールは、接種開始年齢が生後2か月から7か月に至るまでに、初回接種として27（医師が認める場合は20）日以上（標準的には56日まで）の間隔をあけて3回接種後、追加接種として初回接種終了後7か月以上の間隔をあけて1回接種します。なお、初回2回目及び3回目の接種は生後12か月に至るまでに行い、それを超えた場合は行いません。ただし、追加接種は実施可能ですが、初回接種終了後27日(医師が認めるときは20日)以上の間隔をあけて1回接種します。
　生後7か月から12か月に至るまでに接種を開始した場合は、初回接種として27（医師が認める場合は20）日以上（標準的には56日まで）の間隔をあけて2回接種後、追加接種として初回接種終了後7か月以上の間隔をあけて1回接種します。なお、初回2回目の接種は、生後12か月に至るまでに行い、それを超えた場合は行いません。ただし、追加接種は実施可能ですが、初回接種終了後27日(医師が認めるときは20日)以上の間隔をあけて1回接種します。
　生後12か月から60か月に至るまでに接種を開始した場合は1回接種となります。
<b><a href=""https://www.city.osaka.lg.jp/kenko/page/0000005785.html"">※接種対象年齢・回数・間隔等についてはこちら</a></b>をご覧ください。

【副反応は？】
　44％に接種部位の発赤、19％に腫れ・しこり、3％に発熱がみられますが、いずれも軽く、一過性のもので数日中には回復します。
　極めてまれに、ショック、アナフィラキシー様症状（接種後30分以内に出現する呼吸困難等の重いアレルギー反応）、血小板減少性紫斑病、脳症、けいれんなどがあります。","日本小児学会が推奨する予防接種スケジュール
http://www.jpeds.or.jp/uploads/files/vaccine_schedule.pdf"
０歳,２か月,予防接種,肺炎球菌(PCV13)①,,"日本小児学会が推奨する予防接種スケジュール
http://www.jpeds.or.jp/uploads/files/vaccine_schedule.pdf"
０歳,２か月,予防接種,B型肝炎　ユニバーサルワクチン①,,"日本小児学会が推奨する予防接種スケジュール
http://www.jpeds.or.jp/uploads/files/vaccine_schedule.pdf"
０歳,２か月,予防接種,ロタウイルス　１価①,,"日本小児学会が推奨する予防接種スケジュール
http://www.jpeds.or.jp/uploads/files/vaccine_schedule.pdf"
０歳,２か月,予防接種,ロタウイルス　５価①,,"日本小児学会が推奨する予防接種スケジュール
http://www.jpeds.or.jp/uploads/files/vaccine_schedule.pdf"
